Name,ID,Instagram,Wikipedia,SpotifyFollowers,MonthlyListeners,Singles,TopTrackPlays,EarliestAlbum,MonthSinceRelease,Albums,AppearsOn,DiscoveredOn
KC & The Sunshine Band,3mQBpAOMWYqAZyxtyeo4Lo,https://instagram.com/kcandthesunshineband,https://en.wikipedia.org/wiki/KC_and_the_Sunshine_Band,815778,4571722,26,156028744,2004-10-26,214,16,511,93
Creedence Clearwater Revival,3IYUhFvPQItj6xySrBmZkd,https://instagram.com/theofficialccr,https://en.wikipedia.org/wiki/Creedence_Clearwater_Revival,5232325,18945310,2,861934638,1969-11-02,633,16,300,91
Usher,23zg3TcAtWQy7J6upgbUnj,https://instagram.com/usher,https://en.wikipedia.org/wiki/Usher_(musician),9915663,22734951,35,860555691,1997-09-16,299,11,239,94
Khalid,6LuN9FCkKOj5PcnpouEgny,https://instagram.com/thegr8khalid,https://en.wikipedia.org/wiki/Khalid_(singer),15490969,49380117,80,1895165563,2017-04-27,64,4,402,90
Juice WRLD,4MCBfE4596Uoi2O4DtmEMz,https://instagram.com/juicewrld999,https://en.wikipedia.org/wiki/Juice_Wrld,25331060,28650340,21,2020895520,2018-10-19,46,6,461,91
J Balvin,1vyhD5VmyZ7KMfW5gqLgo5,https://instagram.com/jbalvin,https://en.wikipedia.org/wiki/J_Balvin,34937482,54033376,135,1404518199,2012-01-01,127,10,1320,93
Galantis,4sTQVOfp9vEMCemLw50sbu,https://instagram.com/wearegalantis,https://en.wikipedia.org/wiki/Galantis,3263557,16842654,124,762603033,2015-06-05,86,3,375,93
Pusha T,0ONHkAv9pCAFxb0zJwDNTy,https://instagram.com/kingpush,https://en.wikipedia.org/wiki/Pusha_T,2557069,7885434,22,147460257,2011-11-08,129,8,335,89
Zyra,0DGAOR3KtqWwWSwDzhzqOa,https://instagram.com/zyramusicofficial,https://en.wikipedia.org/wiki/Zyra_(singer),5994,11393,10,25501,2021-10-15,10,3,11,36
Smino,1ybINI1qPiFbwDXamRtwxD,https://instagram.com/smino,https://en.wikipedia.org/wiki/Smino,663439,3427256,30,83189913,2017-03-14,65,2,99,90
Uncle Kracker,2DnqqkzzDKm3vAoyHtn8So,https://instagram.com/unclekracker,https://en.wikipedia.org/wiki/Uncle_Kracker,626606,4407827,9,255130902,2000-06-13,266,7,376,92
Wu-Tang Clan,34EP7KEpOjXcM2TCat1ISk,https://instagram.com/wutangclan,https://en.wikipedia.org/wiki/Wu-Tang_Clan,2466466,4747673,30,299968574,2008-09-22,167,20,101,89
System Of A Down,5eAWCfyUhZtHHtBdNk56l1,https://instagram.com/systemofadown,https://en.wikipedia.org/wiki/System_of_a_Down,8484222,12823725,4,858471740,1998-12-30,284,5,13,88
Omar Apollo,5FxD8fkQZ6KcsSYupDVoSO,https://instagram.com/omar.apollo/,https://en.wikipedia.org/wiki/Omar_Apollo,530675,4590194,25,41870684,2018-05-30,51,5,106,92
ITZY,2KC9Qb60EaY0kW4eH68vr3,https://instagram.com/itzy.all.in.us/,https://en.wikipedia.org/wiki/itzy,4601416,6593058,14,254425923,2020-03-09,29,3,1,92
George Strait,5vngPClqofybhPERIqQMYd,https://instagram.com/georgestrait/,https://en.wikipedia.org/wiki/George_Strait,3321785,6105532,8,163864480,2007-01-01,187,41,226,91
NF,6fOMl44jA4Sp5b9PpYCkzz,https://instagram.com/nfrealmusic,https://en.wikipedia.org/wiki/NF_(rapper),7371512,13246060,18,1186814735,2015-03-31,89,5,76,90
Aventura,1qto4hHid1P71emI6Fd8xi,https://instagram.com/aventuraworldwide,https://en.wikipedia.org/wiki/Aventura_(band),6273081,14794054,9,528512645,1999-12-30,272,7,11,93
Ice Cube,3Mcii5XWf6E0lrY3Uky4cA,https://instagram.com/icecube,https://en.wikipedia.org/wiki/Ice_Cube,5957183,11996058,15,638214354,1993-12-07,344,17,243,91
Imagine Dragons,53XhwfbYqKCa1cC15pYq2q,https://instagram.com/imaginedragons,https://en.wikipedia.org/wiki/Imagine_Dragons,42034338,52836818,41,2184422251,2012-09-04,119,7,1262,92
YoungBoy Never Broke Again,7wlFDEWiM5OoIAt8RSli8b,https://instagram.com/nba_youngboy,https://en.wikipedia.org/wiki/YoungBoy_Never_Broke_Again,9416195,16977214,52,736205273,2020-11-13,21,26,587,91
Eyedress,3XxNRirzbjfLdDli06zMaB,https://instagram.com/eyedress,https://en.wikipedia.org/wiki/Eyedress,853154,6856069,32,291374910,2012-12-30,116,10,21,93
ZHU,28j8lBWDdDSHSSt5oPlsX2,https://instagram.com/zhu,https://en.wikipedia.org/wiki/zhu_(musician),792624,4598430,55,271631199,2016-07-29,73,4,80,87
Farruko,329e4yvIujISKGKz1BZZbO,https://instagram.com/farrukoofficial,https://en.wikipedia.org/wiki/Farruko,13777198,37637867,185,1017263315,2010-05-04,147,9,542,93
Sia,5WUlDfRSoLAfcVSX1WnrxN,https://instagram.com/siamusic,https://en.wikipedia.org/wiki/Sia_(musician),24226488,35349544,99,1468241835,2007-01-01,187,14,782,90
Volbeat,0L5fC7Ogm2YwgqVCRcF1bT,https://instagram.com/volbeat,https://en.wikipedia.org/wiki/Volbeat,2172520,4602209,3,245992134,2010-09-10,143,12,33,87
Eminem,7dGJo4pcD2V6oG8kP0tJRR,https://instagram.com/Eminem,https://en.wikipedia.org/wiki/Eminem,58618937,53510921,25,1485054008,2009-05-15,159,17,186,90
Oasis,2DaxqgrOhkeH0fpeiQq2f4,https://instagram.com/oasis/,https://en.wikipedia.org/wiki/Oasis_(band),7656766,16572709,33,1456420018,1995-12-30,320,11,10,91
RJMrLA,6kQWPGBItT0oMCHZy3M9DN,https://instagram.com/RJMrLA,https://en.wikipedia.org/wiki/RJ_(rapper),108341,973787,30,46674619,2013-09-25,107,10,70,91
King Gizzard & The Lizard Wizard,6XYvaoDGE0VmRt83Jss9Sn,https://instagram.com/kinggizzard,https://en.wikipedia.org/wiki/King_Gizzard_%26_the_Lizard_Wizard,834765,1445038,5,34669655,2017-12-31,56,23,5,88
Red Hot Chili Peppers,0L8ExT028jH3ddEcZwqJJ5,https://instagram.com/chilipeppers,https://en.wikipedia.org/wiki/Red_Hot_Chili_Peppers,18590907,26086136,21,982767409,1995-09-12,323,16,138,90
AURORA,1WgXqy2Dd70QQOU7Ay074N,https://instagram.com/auroramusic,https://en.wikipedia.org/wiki/Aurora_(singer),2383160,10331280,56,550488385,2014-12-30,92,5,65,91
Bhad Bhabie,7DuTB6wdzqFJGFLSH17k8e,https://instagram.com/bhadbhabie,https://en.wikipedia.org/wiki/Danielle_Bregoli,3096872,2725362,23,199144571,2018-09-18,47,1,124,89
Tchami,1KpCi9BOfviCVhmpI4G2sY,https://instagram.com/tchami,https://en.wikipedia.org/wiki/Tchami,380089,3420161,55,63504534,2018-01-22,55,3,60,91
Burna Boy,3wcj11K77LjEY1PkEazffa,https://instagram.com/burnaboygram,https://en.wikipedia.org/wiki/Burna_Boy,3001267,18407058,42,344365779,2013-08-12,108,7,380,93
Aquilo,26GHRG8x1F4AzbCKzUaIbw,https://instagram.com/aquilo,https://en.wikipedia.org/wiki/Aquilo_(band),289208,1989584,26,90393022,2017-01-27,67,3,97,90
Swae Lee,1zNqQNIdeOUZHb8zbZRFMX,https://instagram.com/swaelee,https://en.wikipedia.org/wiki/Swae_Lee,1529397,24358224,25,2380027961,2018-05-04,51,2,372,89
NLE Choppa,0ErzCpIMyLcjPiwT4elrtZ,https://instagram.com/nlechoppamusic,https://en.wikipedia.org/wiki/NLE_Choppa,4998314,8652385,63,395082243,2019-12-23,32,3,450,91
Zlatan,4mSWNal2Ixxf1zrXSTLoep,https://instagram.com/zlatan_ibile,https://en.wikipedia.org/wiki/Zlatan_(musician),255822,276678,66,15655554,2019-11-01,33,2,246,91
Pitbull,0TnOYISbd1XYRBk9myaseg,https://instagram.com/pitbull,https://en.wikipedia.org/wiki/Pitbull_(rapper),9512935,32027324,109,1039848837,2011-06-17,134,18,650,91
PnB Rock,21WS9wngs9AqFckK7yYJPM,https://instagram.com/Pnbrock,https://en.wikipedia.org/wiki/PnB_Rock,3413464,5460695,35,360651392,2015-10-30,82,7,317,88
Epic Rap Battles of History,0Rq2hV3S3O4JMWbL2B510w,https://instagram.com/erb,https://en.wikipedia.org/wiki/Epic_Rap_Battles_of_History,393116,232366,89,12272211,2013-05-22,111,5,0,89
Tory Lanez,2jku7tDXc6XoB6MO2hFuqg,https://instagram.com/torylanez,https://en.wikipedia.org/wiki/Tory_Lanez,4553871,15902766,79,596894712,2016-08-19,72,10,659,89
Logic,4xRYI6VqpkE3UwrDrAZL8L,https://instagram.com/logic,https://en.wikipedia.org/wiki/Logic_(rapper),5779844,11849462,24,1170487786,2016-07-01,73,13,341,87
Upchurch,2pSObt5Fk8izuX8ZfI3jRn,https://instagram.com/cheathamchurch,https://en.wikipedia.org/wiki/Upchurch_(musician),1322200,1589970,18,72288700,2018-12-21,44,20,32,90
Steve Lacy,57vWImR43h4CaDao012Ofp,https://instagram.com/steve.lacy,https://en.wikipedia.org/wiki/Steve_Lacy_(musician),1851823,25389036,16,537015810,2019-05-24,39,3,32,95
Wyclef Jean,7aBzpmFXB4WWpPl2F7RjBe,https://instagram.com/wyclefjean,https://en.wikipedia.org/wiki/Wyclef_Jean,275494,4874422,62,473920917,2000-08-14,264,12,226,90
Gwen Stefani,4yiQZ8tQPux8cPriYMWUFP,https://instagram.com/gwenstefani,https://en.wikipedia.org/wiki/Gwen_Stefani,5501651,12746876,17,454771356,2004-11-23,213,7,1134,92
Oques Grasses,5qPeAT4ikl6gJNUexAOEy0,https://instagram.com/oquesgrasses,https://ca.wikipedia.org/wiki/Oques_Grasses,103921,424707,5,16345580,2013-03-16,113,5,15,92
Udit Narayan,70B80Lwx2sxti0M1Ng9e8K,https://instagram.com/uditnarayanmusic/,https://en.wikipedia.org/wiki/Udit_Narayan,6784134,10039315,158,35196304,2016-07-01,73,71,1293,96
Charlie Puth,6VuMaDnrHyPL1p4EHjYLi7,https://instagram.com/charlieputh,https://en.wikipedia.org/wiki/Charlie_Puth,17146877,44133132,42,1434970877,2016-01-29,79,3,901,93
Aoife O'Donovan,1f3ubTd6eyxuy30ddDJQQa,https://instagram.com/aoifemaria,https://en.wikipedia.org/wiki/Aoife_O%27Donovan,47114,886169,21,6696705,2013-06-11,110,4,38,92
NAV,7rkW85dBwwrJtlHRDkJDAC,https://instagram.com/nav,https://en.wikipedia.org/wiki/Nav_(rapper),3051313,11673643,10,327077912,2017-02-24,66,8,79,89
Post Malone,246dkjvS1zLTtiykXe5h60,https://instagram.com/postmalone,https://en.wikipedia.org/wiki/Post_Malone,37902476,54049020,14,2482984561,2016-12-09,68,6,338,92
Glass Animals,4yvcSjfu4PC0CYQyLy4wSq,https://instagram.com/glassanimals,https://en.wikipedia.org/wiki/Glass_Animals,3205525,34916031,43,1905463074,2014-06-03,98,6,801,93
Florida Georgia Line,3b8QkneNDz4JHKKKlLgYZg,https://instagram.com/flagaline,https://en.wikipedia.org/wiki/Florida_Georgia_Line,4859309,12192896,18,1166209514,2012-01-01,127,9,515,90
Otis Redding,60df5JBRRPcnSpsIMxxwQm,https://instagram.com/OtisRedding,https://en.wikipedia.org/wiki/Otis_Redding,1971878,6378746,7,466341308,1968-02-23,654,21,734,93
JP Saxe,66W9LaWS0DPdL7Sz8iYGYe,https://instagram.com/jpsaxe,https://en.wikipedia.org/wiki/JP_Saxe,364094,7204486,26,842383392,2021-06-25,14,3,13,93
Sfera Ebbasta,23TFHmajVfBtlRx5MXqgoz,https://instagram.com/sferaebbasta,https://wikipedia.org/wiki/Sfera_Ebbasta,4923956,7338874,27,140071235,2015-11-23,81,5,169,92
fhána,5COrwcYLHQePdWt9V12iqv,https://instagram.com/fhana_official/,https://en.wikipedia.org/wiki/Fhána,76878,263525,28,15988781,2014-12-24,92,10,0,92
TLC,0TImkz4nPqjegtVSMZnMRq,https://instagram.com/officialtlc,https://en.wikipedia.org/wiki/TLC_(group),3217302,7899246,16,716672277,1992-02-25,366,5,43,94
Heart,34jw2BbxjoYalTp8cJFCPv,https://instagram.com/heartofficial,https://en.wikipedia.org/wiki/Heart_(band),2038699,7206517,9,310076343,1995-01-01,331,22,143,93
YK Osiris,7meyrw7Or5DwteYxDJrkCM,https://instagram.com/ykosiris,https://en.wikipedia.org/wiki/YK_Osiris,1423783,1732209,17,270443048,2019-10-11,34,1,71,90
ILLENIUM,45eNHdiiabvmbp4erw26rg,https://instagram.com/illenium,https://en.wikipedia.org/wiki/illenium,1285857,10111733,87,532985606,2016-02-15,78,9,147,91
Yhung T.O.,1Yss4ClgrS9sIprNlq5O3l,https://instagram.com/yhungto,https://en.wikipedia.org/wiki/SOB_X_RBE,120565,295374,43,31073748,2017-08-29,60,11,112,88
Gorillaz,3AA28KZvwAUcZuOKwyblJQ,https://instagram.com/gorillaz,https://en.wikipedia.org/wiki/Gorillaz,9183835,17746176,59,940854899,2002-07-01,241,11,121,89
GSoul,4oEXworvhegyK83rZwVyWL,https://instagram.com/g_theprince,https://en.wikipedia.org/wiki/G.Soul,189267,879857,19,32013064,-1,-1,0,40,92
Led Zeppelin,36QJpDe2go2KgaRleHCDTp,https://instagram.com/LedZeppelin,https://en.wikipedia.org/wiki/Led_Zeppelin,12517481,17051773,0,725601603,1976-03-31,557,23,2,91
Jack Harlow,2LIk90788K0zvyj2JJVwkJ,https://instagram.com/jackharlow,https://en.wikipedia.org/wiki/Jack_Harlow,2471593,39814252,22,1465421845,2016-06-17,74,7,692,93
NGHTMRE,76M2Ekj8bG8W7X2nbx2CpF,https://instagram.com/nghtmre,https://en.wikipedia.org/wiki/Nghtmre,432179,3281984,77,56199088,-1,-1,0,76,90
Ed Sheeran,6eUKZXaKkcviH0Ku9w2n3V,https://instagram.com/teddysphotos,https://en.wikipedia.org/wiki/Ed_Sheeran,101589732,81197739,110,3214744531,2011-12-09,128,12,1143,92
Eurythmics,0NKDgy9j66h3DLnN8qu1bB,https://instagram.com/eurythmicsmusic/,https://en.wikipedia.org/wiki/Eurythmics,1573430,9604175,7,906045224,1983-11-14,465,14,25,92
*NSYNC,6Ff53KvcvAj5U7Z1vojB5o,https://instagram.com/nsync,https://en.wikipedia.org/wiki/NSYNC,1841133,6095302,0,408845380,1997-05-20,303,8,65,93
Evanescence,5nGIFgo0shDenQYSE0Sn7c,https://instagram.com/EvanescenceOfficial,https://en.wikipedia.org/wiki/Evanescence,3517026,8714199,9,673652470,2003-03-04,233,9,139,90
Kanye West,5K4W6rqBFWDnAN6FQUkS6x,https://instagram.com/kanyewest,https://en.wikipedia.org/wiki/Kanye_West,18066211,49998622,28,1045819909,2010-11-22,141,14,329,89
Aminé,3Gm5F95VdRxW3mqCn8RPBJ,https://instagram.com/amine,https://en.wikipedia.org/wiki/Amin%C3%A9_(rapper),1812251,8135261,12,665367285,2017-07-28,61,5,241,89
Jhené Aiko,5ZS223C6JyBfXasXxrRqOk,https://instagram.com/jheneaiko,https://en.wikipedia.org/wiki/Jhen%C3%A9_Aiko,5738597,10868614,22,276795483,2013-01-01,115,7,481,90
Eagles,0ECwFtbIWEVNwjlrfc6xoL,https://instagram.com/eagles,https://en.wikipedia.org/wiki/Eagles_(band),8494308,17527898,5,1116883381,1973-12-30,584,11,7,92
The Weeknd,1Xyo4u8uXC1ZmMpatF05PJ,https://instagram.com/theweeknd,https://en.wikipedia.org/wiki/The_Weeknd,49017235,78723576,42,3111038156,2011-12-21,128,12,330,91
Enrique Iglesias,7qG3b048QCHVRO5Pv1T5lw,https://instagram.com/EnriqueIglesias,https://en.wikipedia.org/wiki/Enrique_Iglesias,10884117,20485288,55,739627973,1998-09-22,287,13,62,93
ODESZA,21mKp7DqtSNHhCAU2ugvUw,https://instagram.com/odesza,https://en.wikipedia.org/wiki/Odesza,1433485,6173503,29,184773028,2012-09-05,119,7,23,88
Mt. Joy,69tiO1fG8VWduDl3ji2qhI,https://instagram.com/mtjoyband,https://en.wikipedia.org/wiki/Mt._Joy_(band),300685,2925198,16,116201990,2018-03-02,53,4,2,92
YG,0A0FS04o6zMoto8OKPsDwY,https://instagram.com/yg,https://en.wikipedia.org/wiki/YG_(rapper),2911207,13445481,40,338425386,2014-03-18,101,13,487,89
Kid Cudi,0fA0VVWsXO9YnASrzqfmYu,https://instagram.com/kidcudi/,https://en.wikipedia.org/wiki/Kid_Cudi,6013953,22878687,12,645033507,2009-01-01,163,10,557,91
YFN Lucci,5Berubt6ysOy2LCMyqhmXP,https://instagram.com/yfnlucci,https://en.wikipedia.org/wiki/YFN_Lucci,2178623,1543873,47,189780070,2015-06-02,86,9,297,86
Lil Uzi Vert,4O15NlyKLIASxsJ0PrXPfz,https://instagram.com/liluzivert,https://en.wikipedia.org/wiki/Lil_Uzi_Vert,13742965,22046615,33,1739350586,2015-12-18,80,9,766,88
Axwell /\ Ingrosso,2XnBwblw31dfGnspMIwgWz,https://instagram.com/axwellingrosso,https://en.wikipedia.org/wiki/Axwell_%26_Ingrosso,2399964,7142272,19,1063547946,2017-07-28,61,1,3,88
Bob Marley & The Wailers,2QsynagSdAqZj3U9HgDzjD,https://instagram.com/bobmarley,https://en.wikipedia.org/wiki/Bob_Marley,10777190,16003967,24,673677706,2012-04-17,124,37,133,91
ZZ Top,2AM4ilv6UzW0uMRuqKtDgN,https://instagram.com/zztop,http://en.wikipedia.org/wiki/ZZ_Top,3693640,7647220,11,400992981,1985-10-28,442,17,378,91
Air Supply,4xXCRXOfQKQ2gjWxNhNzYW,https://instagram.com/airsupplymusic,https://en.wikipedia.org/wiki/Air_Supply,3296658,4685858,1,296978083,2001-08-28,252,23,121,93
Turnpike Troubadours,1YSA4byX5AL1zoTsSTlB03,https://instagram.com/turnpiketroubadours,https://en.wikipedia.org/wiki/Turnpike_Troubadours,354625,1354966,8,52398406,2010-08-31,144,4,3,90
Ski Mask The Slump God,2rhFzFmezpnW82MNqEKVry,https://instagram.com/theslumpgod,https://en.wikipedia.org/wiki/Ski_Mask_the_Slump_God,5088398,8779800,24,453135029,2018-02-02,54,4,146,89
Hwa Sa,7bmYpVgQub656uNTu6qGNQ,https://instagram.com/_mariahwasa,https://en.wikipedia.org/wiki/Hwasa,3282326,3504259,12,191041537,-1,-1,0,42,91
Eric Church,2IvkS5MXK0vPGnwyJsrEyV,https://instagram.com/ericchurchmusic/,https://en.wikipedia.org/wiki/Eric_Church,3488237,6233571,32,327539731,2015-11-11,81,15,177,91
KB,77IKXFvO7SpWrq8hflrUXc,https://instagram.com/kb_hga,https://en.wikipedia.org/wiki/KB_(rapper),366450,984295,37,29178358,2012-07-17,121,6,51,92
Kali Uchis,1U1el3k54VvEUzo3ybLPlM,https://instagram.com/kaliuchis,https://en.wikipedia.org/wiki/kali_uchis,3114078,16188770,30,701352206,2015-02-04,90,4,649,92
GJan,6fuceMe1tElXcrzMaSjdcy,https://instagram.com/gjan,https://en.wikipedia.org/wiki/GJan,32743,131646,24,5159937,2017-10-18,58,2,2,86
Jelly Roll,19k8AgwwTSxeaxkOuCQEJs,https://instagram.com/jellyroll615,https://en.wikipedia.org/wiki/JellyRoll,1414118,3112020,28,61585728,2017-11-03,57,23,290,90
Berliner Philharmoniker,6uRJnvQ3f8whVnmeoecv5Z,https://instagram.com/berlinphil,https://en.wikipedia.org/wiki/Berlin_Philharmonic,170362,3238722,49,33013547,2022-06-03,2,838,0,94
Oh Wonder,5cIc3SBFuBLVxJz58W2tU9,https://instagram.com/ohwondermusic,https://en.wikipedia.org/wiki/Oh_Wonder,1041211,7365299,28,688755408,2015-09-04,83,4,322,89
CNCO,0eecdvMrqBftK0M1VKhaF4,https://instagram.com/cncomusic,https://en.wikipedia.org/wiki/CNCO,9081087,8257943,28,629966140,2016-08-26,72,6,103,92
Xscape,5z2cHsOmmmWcAPNG1oEhw0,https://instagram.com/officialxscape,https://en.wikipedia.org/wiki/xscape_(group),1337567,685399,1,41466554,1993-10-12,346,3,29,89
