Name,ID,Instagram,Wikipedia,SpotifyFollowers,MonthlyListeners,Singles,TopTrackPlays,EarliestAlbum,MonthSinceRelease,Albums,AppearsOn,DiscoveredOn
Gbmnutron,4EfvuRX05W5WiDkij0nTbq,-1,-1,12340,170081,37,8071644,2017-09-01,59,3,37,91
LB199X,2Q0j8jCsQAW5hMUeKuEryM,https://instagram.com/lb199x,-1,2440,42582,8,2060958,-1,-1,0,40,93
Ben Rector,4AapPt7H6bGH4i7chTulpI,https://instagram.com/ben_rector,https://en.wikipedia.org/wiki/Ben_Rector,323161,2685311,10,110493600,2008-10-01,166,10,5,89
IIIDAZE,3vmXHPahjIFcm6C5L8Zvit,https://instagram.com/threexdaze,-1,2364,37551,7,3944714,2018-07-13,49,1,1,92
Jacquees,4tMm1dU6Gn04VAZ9ClHcIZ,https://instagram.com/jacquees,https://en.wikipedia.org/wiki/Jacquees,2196094,3792664,32,177021725,2014-03-25,101,7,134,90
ZICO,4XpUIb8uuNlIWVKmgKZXC0,https://instagram.com/woozico0914/,-1,1184021,1834048,21,134536845,-1,-1,0,54,91
Zbonics,7yAXGmj99ynCImo1cr8UEI,-1,-1,1060,7826,3,575271,2008-01-01,175,2,0,92
EE,0jWGiEfSygYEYbd423XARv,-1,-1,104,363377,3,2082911,-1,-1,0,2,92
Alice In Chains,64tNsm6TnZe2zpcMVMOoHL,https://instagram.com/aliceinchains,https://en.wikipedia.org/wiki/Alice_in_Chains,4075105,6021955,7,251099716,1990-08-01,384,8,17,90
M.BRONX,3jbqK4VihAncvAJWgcidZG,https://instagram.com/mbronxmusic,-1,1910,308798,11,5409023,-1,-1,0,32,89
The Walters,027TpXKGwdXP7iwbjUSpV8,https://instagram.com/thewalters_,-1,392539,9906645,9,592987529,2015-12-23,80,1,228,93
YLA Howe,27sUtl9tQzUh6xeYXmORY4,https://instagram.com/ylahowe,-1,1327,73726,9,3111366,-1,-1,0,1,93
Irma Thomas,01Z8Z9K54zewyP04ZfGLSv,-1,-1,83630,740055,4,41571828,2001-01-01,259,26,119,89
SawanoHiroyuki[nZk]:Yosh,2LjjIxKVSELsdFKkmABPNT,-1,-1,14089,74586,1,5272090,-1,-1,0,6,92
Omer Adam,1IAEef07H0fd9aA8aUHUlL,https://instagram.com/omeradam10,https://he.wikipedia.org/wiki/%D7%A2%D7%95%D7%9E%D7%A8_%D7%90%D7%93%D7%9D,980179,730206,78,14837599,2011-06-01,134,11,13,91
wonder,7w65Lll0zgO7LkK51MvOqk,https://instagram.com/wondsr,-1,18404,62260,22,3284643,2019-10-27,34,2,19,97
Kayos KF,6sAVp1U2N61SR2o6BtAwMC,https://instagram.com/Kayoskf38,-1,726,14204,7,198369,-1,-1,0,4,94
Zsos,2KJntQgoVp7ss15isvbax6,-1,-1,6,40281,1,544664,-1,-1,0,0,95
Tim McGraw,6roFdX1y5BYSbp60OTJWMd,-1,-1,4092290,7342626,19,187871075,2014-01-01,103,23,205,90
Westside Gunn,0ABk515kENDyATUdpCKVfW,-1,-1,281736,2258037,22,44927483,2018-11-03,45,18,118,92
L'haine,7tXH4uI7BOE7hFBazlah0q,https://instagram.com/elodiosiempregana,-1,13287,137825,21,3861667,2019-05-24,39,2,7,92
The Steeldrivers,3bLSAQPeix7Xm2e5Gtn48R,https://instagram.com/thesteeldrivers/,-1,269773,1638803,1,48700176,2008-01-15,175,5,8,90
Erik Satie,459INk8vcC0ebEef82WjIK,-1,-1,674524,3577135,74,91837105,2021-12-03,8,150,1089,95
GCash,1vgVSN9vreJqcg7DNpSnkC,-1,-1,3125,4015,2,250628,-1,-1,0,0,99
NTO,7ry8L53T4oJtSIogGYuioq,https://instagram.com/ntomusic/,-1,200991,1719231,43,24309248,2016-03-11,77,2,77,91
AJR,6s22t5Y3prQHyaHWUN1R1C,https://instagram.com/ajrbrothers,-1,2429228,11658078,19,606542052,2013-12-30,104,6,130,88
A-LOW Rx,6HzTuCKcvFhYqMEWrfQ8gu,https://instagram.com/alowrx_thagoat/,-1,2110,30954,15,1630183,2019-04-03,40,2,5,92
SUNMI,6MoXcK2GyGg7FIyxPU5yW6,https://instagram.com/miyayeah,-1,2573255,2918870,17,162776642,-1,-1,0,5,90
Lumidee,1IO0GVa1xjkFMXsg66FiE9,https://instagram.com/lumidee,-1,98582,1098568,23,57586567,2003-01-01,235,3,111,92
LVCK,68QplKBnl2hnvnF0WDoT0G,-1,-1,2185,39269,3,1979156,-1,-1,0,1,93
The Whitest Kids U' Know,7DqYXQaCPEYDpvy3uUEqZy,-1,-1,7948,15873,0,470694,2006-10-17,190,1,0,62
DJ Xquizit,2ktbQba5UHb9nnV6VaBqPR,https://instagram.com/djxquizit,-1,1159,26132,91,1581889,2014-08-29,96,2,168,90
